longueDonde(nm)	ValeurMoyenne(V)
400	0.5155112000000001
410	0.6470592023255815
420	0.7976285275
430	0.9567058648648649
440	1.0387664974358977
450	1.1841109550000002
460	1.4322396461538465
470	1.6968910073170733
480	1.9365235374999998
490	2.1526595
500	2.3541215219512197
510	2.545331169047619
520	2.7269334052631575
530	2.895094253846154
540	3.050802384615385
550	3.191392724324324
560	3.315792167567567
570	3.4214398274999995
580	3.506377278947368
590	3.5745422972972962
600	3.6266938394736847
610	3.6670847589743585
620	3.6978013702702706
630	3.717912081081081
640	3.7238140263157895
650	3.7144853564102562
660	3.691919816216216
670	3.6598779999999995
680	3.625417575
690	3.5888512486486484
700	3.5385108750000005
710	3.351861068421053
720	4.606750821052631
