Wavelength(nm)	ReponseSpectral(Vn/W)
400.0	930.11574188017
410.0	969.1679043616064
420.0	1069.3920884801312
430.0	1142.9176063720297
440.0	1224.9583695146102
450.0	1251.4927588240814
460.0	1296.6334497122486
470.0	1331.001340627285
480.0	1383.0492838058112
490.0	1414.4303217098136
500.0	1438.4153858963743
510.0	1432.5475381910526
520.0	1461.741906773689
530.0	1439.3017231271303
540.0	1457.5827243803785
550.0	1450.7778008457153
560.0	1442.8451370656758
570.0	1436.3730930381864
580.0	1406.38332238821
590.0	1360.170504371263
600.0	1343.339316754597
610.0	1315.4195483234012
620.0	1271.0777167742285
630.0	1242.5796956115614
640.0	1205.221563593381
650.0	1159.3999863545985
660.0	1118.5860032721357
670.0	1080.2267053466246
680.0	1037.3828826013832
690.0	983.1871661594888
700.0	937.1158006038936
710.0	884.5340448909517
720.0	832.5987823718509
